Series ID,Year,Period,Label,Value
LASST450000000000003,2006,M07,2006 Jul,6.9
LASST450000000000003,2006,M08,2006 Aug,6.8
LASST450000000000003,2006,M09,2006 Sep,6.8
LASST450000000000003,2006,M10,2006 Oct,6.7
LASST450000000000003,2006,M11,2006 Nov,6.6
LASST450000000000003,2006,M12,2006 Dec,6.5
LASST450000000000003,2007,M01,2007 Jan,6.4
LASST450000000000003,2007,M02,2007 Feb,6.3
LASST450000000000003,2007,M03,2007 Mar,6.2
LASST450000000000003,2007,M04,2007 Apr,6.1
LASST450000000000003,2007,M05,2007 May,6.0
LASST450000000000003,2007,M06,2007 Jun,6.0
LASST450000000000003,2007,M07,2007 Jul,5.9
LASST450000000000003,2007,M08,2007 Aug,6.0
LASST450000000000003,2007,M09,2007 Sep,6.0
LASST450000000000003,2007,M10,2007 Oct,6.0
LASST450000000000003,2007,M11,2007 Nov,6.0
LASST450000000000003,2007,M12,2007 Dec,5.9
LASST450000000000003,2008,M01,2008 Jan,6.0
LASST450000000000003,2008,M02,2008 Feb,6.0
LASST450000000000003,2008,M03,2008 Mar,6.1
LASST450000000000003,2008,M04,2008 Apr,6.3
LASST450000000000003,2008,M05,2008 May,6.6
LASST450000000000003,2008,M06,2008 Jun,6.9
LASST450000000000003,2008,M07,2008 Jul,7.3
LASST450000000000003,2008,M08,2008 Aug,7.6
LASST450000000000003,2008,M09,2008 Sep,8.0
LASST450000000000003,2008,M10,2008 Oct,8.4
LASST450000000000003,2008,M11,2008 Nov,8.9
LASST450000000000003,2008,M12,2008 Dec,9.4
LASST450000000000003,2009,M01,2009 Jan,10.0
LASST450000000000003,2009,M02,2009 Feb,10.5
LASST450000000000003,2009,M03,2009 Mar,10.9
LASST450000000000003,2009,M04,2009 Apr,11.2
LASST450000000000003,2009,M05,2009 May,11.4
LASST450000000000003,2009,M06,2009 Jun,11.5
LASST450000000000003,2009,M07,2009 Jul,11.6
LASST450000000000003,2009,M08,2009 Aug,11.8
LASST450000000000003,2009,M09,2009 Sep,11.9
LASST450000000000003,2009,M10,2009 Oct,12.0
LASST450000000000003,2009,M11,2009 Nov,12.0
LASST450000000000003,2009,M12,2009 Dec,12.1
LASST450000000000003,2010,M01,2010 Jan,12.0
LASST450000000000003,2010,M02,2010 Feb,11.8
LASST450000000000003,2010,M03,2010 Mar,11.7
LASST450000000000003,2010,M04,2010 Apr,11.5
LASST450000000000003,2010,M05,2010 May,11.3
LASST450000000000003,2010,M06,2010 Jun,11.2
LASST450000000000003,2010,M07,2010 Jul,11.1
LASST450000000000003,2010,M08,2010 Aug,11.1
LASST450000000000003,2010,M09,2010 Sep,11.1
LASST450000000000003,2010,M10,2010 Oct,11.0
LASST450000000000003,2010,M11,2010 Nov,10.9
LASST450000000000003,2010,M12,2010 Dec,10.9
LASST450000000000003,2011,M01,2011 Jan,10.8
LASST450000000000003,2011,M02,2011 Feb,10.7
LASST450000000000003,2011,M03,2011 Mar,10.7
LASST450000000000003,2011,M04,2011 Apr,10.7
LASST450000000000003,2011,M05,2011 May,10.7
LASST450000000000003,2011,M06,2011 Jun,10.7
LASST450000000000003,2011,M07,2011 Jul,10.6
LASST450000000000003,2011,M08,2011 Aug,10.5
LASST450000000000003,2011,M09,2011 Sep,10.3
LASST450000000000003,2011,M10,2011 Oct,10.1
LASST450000000000003,2011,M11,2011 Nov,9.9
LASST450000000000003,2011,M12,2011 Dec,9.7
LASST450000000000003,2012,M01,2012 Jan,9.6
LASST450000000000003,2012,M02,2012 Feb,9.5
LASST450000000000003,2012,M03,2012 Mar,9.4
LASST450000000000003,2012,M04,2012 Apr,9.4
LASST450000000000003,2012,M05,2012 May,9.3
LASST450000000000003,2012,M06,2012 Jun,9.2
LASST450000000000003,2012,M07,2012 Jul,9.0
LASST450000000000003,2012,M08,2012 Aug,8.8
LASST450000000000003,2012,M09,2012 Sep,8.7
LASST450000000000003,2012,M10,2012 Oct,8.6
LASST450000000000003,2012,M11,2012 Nov,8.5
LASST450000000000003,2012,M12,2012 Dec,8.4
LASST450000000000003,2013,M01,2013 Jan,8.4
LASST450000000000003,2013,M02,2013 Feb,8.3
LASST450000000000003,2013,M03,2013 Mar,8.1
LASST450000000000003,2013,M04,2013 Apr,7.9
LASST450000000000003,2013,M05,2013 May,7.7
LASST450000000000003,2013,M06,2013 Jun,7.5
LASST450000000000003,2013,M07,2013 Jul,7.4
LASST450000000000003,2013,M08,2013 Aug,7.2
LASST450000000000003,2013,M09,2013 Sep,7.0
LASST450000000000003,2013,M10,2013 Oct,6.8
LASST450000000000003,2013,M11,2013 Nov,6.5
LASST450000000000003,2013,M12,2013 Dec,6.3
LASST450000000000003,2014,M01,2014 Jan,6.1
LASST450000000000003,2014,M02,2014 Feb,6.0
LASST450000000000003,2014,M03,2014 Mar,6.0
LASST450000000000003,2014,M04,2014 Apr,6.0
LASST450000000000003,2014,M05,2014 May,6.1
LASST450000000000003,2014,M06,2014 Jun,6.2
LASST450000000000003,2014,M07,2014 Jul,6.3
LASST450000000000003,2014,M08,2014 Aug,6.5
LASST450000000000003,2014,M09,2014 Sep,6.5
LASST450000000000003,2014,M10,2014 Oct,6.6
LASST450000000000003,2014,M11,2014 Nov,6.5
LASST450000000000003,2014,M12,2014 Dec,6.5
LASST460000000000003,1999,M01,1999 Jan,2.8
LASST460000000000003,1999,M02,1999 Feb,2.8
LASST460000000000003,1999,M03,1999 Mar,2.8
LASST460000000000003,1999,M04,1999 Apr,2.8
LASST460000000000003,1999,M05,1999 May,2.8
LASST460000000000003,1999,M06,1999 Jun,2.8
LASST460000000000003,1999,M07,1999 Jul,2.8
LASST460000000000003,1999,M08,1999 Aug,2.7
LASST460000000000003,1999,M09,1999 Sep,2.7
LASST460000000000003,1999,M10,1999 Oct,2.6
LASST460000000000003,1999,M11,1999 Nov,2.6
LASST460000000000003,1999,M12,1999 Dec,2.5
LASST460000000000003,2000,M01,2000 Jan,2.5
LASST460000000000003,2000,M02,2000 Feb,2.4
LASST460000000000003,2000,M03,2000 Mar,2.4
LASST460000000000003,2000,M04,2000 Apr,2.4
LASST460000000000003,2000,M05,2000 May,2.5
LASST460000000000003,2000,M06,2000 Jun,2.5
LASST460000000000003,2000,M07,2000 Jul,2.5
LASST460000000000003,2000,M08,2000 Aug,2.6
LASST460000000000003,2000,M09,2000 Sep,2.6
LASST460000000000003,2000,M10,2000 Oct,2.6
LASST460000000000003,2000,M11,2000 Nov,2.7
LASST460000000000003,2000,M12,2000 Dec,2.7
LASST460000000000003,2001,M01,2001 Jan,2.7
LASST460000000000003,2001,M02,2001 Feb,2.8
LASST460000000000003,2001,M03,2001 Mar,2.8
LASST460000000000003,2001,M04,2001 Apr,2.9
LASST460000000000003,2001,M05,2001 May,2.9
LASST460000000000003,2001,M06,2001 Jun,2.9
LASST460000000000003,2001,M07,2001 Jul,3.0
LASST460000000000003,2001,M08,2001 Aug,3.0
LASST460000000000003,2001,M09,2001 Sep,3.1
LASST460000000000003,2001,M10,2001 Oct,3.2
LASST460000000000003,2001,M11,2001 Nov,3.3
LASST460000000000003,2001,M12,2001 Dec,3.4
LASST460000000000003,2002,M01,2002 Jan,3.4
LASST460000000000003,2002,M02,2002 Feb,3.4
LASST460000000000003,2002,M03,2002 Mar,3.4
LASST460000000000003,2002,M04,2002 Apr,3.3
LASST460000000000003,2002,M05,2002 May,3.3
LASST460000000000003,2002,M06,2002 Jun,3.2
LASST460000000000003,2002,M07,2002 Jul,3.1
LASST460000000000003,2002,M08,2002 Aug,3.1
LASST460000000000003,2002,M09,2002 Sep,3.1
LASST460000000000003,2002,M10,2002 Oct,3.1
LASST460000000000003,2002,M11,2002 Nov,3.2
LASST460000000000003,2002,M12,2002 Dec,3.2
LASST460000000000003,2003,M01,2003 Jan,3.3
LASST460000000000003,2003,M02,2003 Feb,3.3
LASST460000000000003,2003,M03,2003 Mar,3.4
LASST460000000000003,2003,M04,2003 Apr,3.4
LASST460000000000003,2003,M05,2003 May,3.5
LASST460000000000003,2003,M06,2003 Jun,3.5
LASST460000000000003,2003,M07,2003 Jul,3.6
LASST460000000000003,2003,M08,2003 Aug,3.6
LASST460000000000003,2003,M09,2003 Sep,3.6
LASST460000000000003,2003,M10,2003 Oct,3.5
LASST460000000000003,2003,M11,2003 Nov,3.5
LASST460000000000003,2003,M12,2003 Dec,3.5
LASST460000000000003,2004,M01,2004 Jan,3.5
LASST460000000000003,2004,M02,2004 Feb,3.5
LASST460000000000003,2004,M03,2004 Mar,3.5
LASST460000000000003,2004,M04,2004 Apr,3.5
LASST460000000000003,2004,M05,2004 May,3.6
LASST460000000000003,2004,M06,2004 Jun,3.6
LASST460000000000003,2004,M07,2004 Jul,3.6
LASST460000000000003,2004,M08,2004 Aug,3.7
LASST460000000000003,2004,M09,2004 Sep,3.7
LASST460000000000003,2004,M10,2004 Oct,3.7
LASST460000000000003,2004,M11,2004 Nov,3.7
LASST460000000000003,2004,M12,2004 Dec,3.7
LASST460000000000003,2005,M01,2005 Jan,3.7
LASST460000000000003,2005,M02,2005 Feb,3.8
LASST460000000000003,2005,M03,2005 Mar,3.8
LASST460000000000003,2005,M04,2005 Apr,3.7
LASST460000000000003,2005,M05,2005 May,3.7
LASST460000000000003,2005,M06,2005 Jun,3.6
LASST460000000000003,2005,M07,2005 Jul,3.5
LASST460000000000003,2005,M08,2005 Aug,3.5
LASST460000000000003,2005,M09,2005 Sep,3.4
LASST460000000000003,2005,M10,2005 Oct,3.4
LASST460000000000003,2005,M11,2005 Nov,3.3
LASST460000000000003,2005,M12,2005 Dec,3.2
LASST460000000000003,2006,M01,2006 Jan,3.2
LASST460000000000003,2006,M02,2006 Feb,3.0
LASST460000000000003,2006,M03,2006 Mar,3.0
LASST460000000000003,2006,M04,2006 Apr,2.9
LASST460000000000003,2006,M05,2006 May,2.9
LASST460000000000003,2006,M06,2006 Jun,3.0
LASST460000000000003,2006,M07,2006 Jul,3.0
LASST460000000000003,2006,M08,2006 Aug,3.0
LASST460000000000003,2006,M09,2006 Sep,3.0
LASST460000000000003,2006,M10,2006 Oct,3.0
LASST460000000000003,2006,M11,2006 Nov,3.0
LASST460000000000003,2006,M12,2006 Dec,3.0
LASST460000000000003,2007,M01,2007 Jan,2.9
LASST460000000000003,2007,M02,2007 Feb,2.9
LASST460000000000003,2007,M03,2007 Mar,2.8
LASST460000000000003,2007,M04,2007 Apr,2.8
LASST460000000000003,2007,M05,2007 May,2.8
LASST460000000000003,2007,M06,2007 Jun,2.8
LASST460000000000003,2007,M07,2007 Jul,2.8
LASST460000000000003,2007,M08,2007 Aug,2.9
LASST460000000000003,2007,M09,2007 Sep,2.9
LASST460000000000003,2007,M10,2007 Oct,2.8
LASST460000000000003,2007,M11,2007 Nov,2.8
LASST460000000000003,2007,M12,2007 Dec,2.7
LASST460000000000003,2008,M01,2008 Jan,2.6
LASST460000000000003,2008,M02,2008 Feb,2.6
LASST460000000000003,2008,M03,2008 Mar,2.6
LASST460000000000003,2008,M04,2008 Apr,2.7
LASST460000000000003,2008,M05,2008 May,2.8
LASST460000000000003,2008,M06,2008 Jun,2.9
LASST460000000000003,2008,M07,2008 Jul,3.1
LASST460000000000003,2008,M08,2008 Aug,3.2
LASST460000000000003,2008,M09,2008 Sep,3.4
LASST460000000000003,2008,M10,2008 Oct,3.5
LASST460000000000003,2008,M11,2008 Nov,3.7
LASST460000000000003,2008,M12,2008 Dec,3.9
LASST460000000000003,2009,M01,2009 Jan,4.1
LASST460000000000003,2009,M02,2009 Feb,4.4
LASST460000000000003,2009,M03,2009 Mar,4.5
LASST460000000000003,2009,M04,2009 Apr,4.7
LASST460000000000003,2009,M05,2009 May,4.7
LASST460000000000003,2009,M06,2009 Jun,4.7
LASST460000000000003,2009,M07,2009 Jul,4.6
LASST460000000000003,2009,M08,2009 Aug,4.6
LASST460000000000003,2009,M09,2009 Sep,4.6
LASST460000000000003,2009,M10,2009 Oct,4.6
LASST460000000000003,2009,M11,2009 Nov,4.7
LASST460000000000003,2009,M12,2009 Dec,4.8
LASST460000000000003,2010,M01,2010 Jan,4.8
LASST460000000000003,2010,M02,2010 Feb,4.9
LASST460000000000003,2010,M03,2010 Mar,4.9
LASST460000000000003,2010,M04,2010 Apr,4.9
LASST460000000000003,2010,M05,2010 May,4.9
LASST460000000000003,2010,M06,2010 Jun,4.9
LASST460000000000003,2010,M07,2010 Jul,4.9
LASST460000000000003,2010,M08,2010 Aug,4.9
LASST460000000000003,2010,M09,2010 Sep,4.9
LASST460000000000003,2010,M10,2010 Oct,4.9
LASST460000000000003,2010,M11,2010 Nov,5.0
LASST460000000000003,2010,M12,2010 Dec,5.0
LASST460000000000003,2011,M01,2011 Jan,5.0
LASST460000000000003,2011,M02,2011 Feb,4.9
LASST460000000000003,2011,M03,2011 Mar,4.9
LASST460000000000003,2011,M04,2011 Apr,4.8
LASST460000000000003,2011,M05,2011 May,4.7
LASST460000000000003,2011,M06,2011 Jun,4.6
LASST460000000000003,2011,M07,2011 Jul,4.5
LASST460000000000003,2011,M08,2011 Aug,4.5
LASST460000000000003,2011,M09,2011 Sep,4.4
LASST460000000000003,2011,M10,2011 Oct,4.4
LASST460000000000003,2011,M11,2011 Nov,4.3
LASST460000000000003,2011,M12,2011 Dec,4.2
LASST460000000000003,2012,M01,2012 Jan,4.2
LASST460000000000003,2012,M02,2012 Feb,4.1
LASST460000000000003,2012,M03,2012 Mar,4.1
LASST460000000000003,2012,M04,2012 Apr,4.1
LASST460000000000003,2012,M05,2012 May,4.1
LASST460000000000003,2012,M06,2012 Jun,4.1
LASST460000000000003,2012,M07,2012 Jul,4.1
LASST460000000000003,2012,M08,2012 Aug,4.1
LASST460000000000003,2012,M09,2012 Sep,4.0
LASST460000000000003,2012,M10,2012 Oct,4.0
LASST460000000000003,2012,M11,2012 Nov,3.9
LASST460000000000003,2012,M12,2012 Dec,3.9
LASST460000000000003,2013,M01,2013 Jan,3.9
LASST460000000000003,2013,M02,2013 Feb,3.8
LASST460000000000003,2013,M03,2013 Mar,3.8
LASST460000000000003,2013,M04,2013 Apr,3.8
LASST460000000000003,2013,M05,2013 May,3.8
LASST460000000000003,2013,M06,2013 Jun,3.7
LASST460000000000003,2013,M07,2013 Jul,3.7
LASST460000000000003,2013,M08,2013 Aug,3.7
LASST460000000000003,2013,M09,2013 Sep,3.6
LASST460000000000003,2013,M10,2013 Oct,3.6
LASST460000000000003,2013,M11,2013 Nov,3.5
LASST460000000000003,2013,M12,2013 Dec,3.5
LASST460000000000003,2014,M01,2014 Jan,3.5
LASST460000000000003,2014,M02,2014 Feb,3.4
LASST460000000000003,2014,M03,2014 Mar,3.4
LASST460000000000003,2014,M04,2014 Apr,3.4
LASST460000000000003,2014,M05,2014 May,3.4
LASST460000000000003,2014,M06,2014 Jun,3.3
LASST460000000000003,2014,M07,2014 Jul,3.3
LASST460000000000003,2014,M08,2014 Aug,3.3
LASST460000000000003,2014,M09,2014 Sep,3.3
LASST460000000000003,2014,M10,2014 Oct,3.3
LASST460000000000003,2014,M11,2014 Nov,3.2
LASST460000000000003,2014,M12,2014 Dec,3.2
LASST470000000000003,1999,M01,1999 Jan,4.2
LASST470000000000003,1999,M02,1999 Feb,4.1
LASST470000000000003,1999,M03,1999 Mar,4.1
LASST470000000000003,1999,M04,1999 Apr,4.0
LASST470000000000003,1999,M05,1999 May,3.9
LASST470000000000003,1999,M06,1999 Jun,3.9
LASST470000000000003,1999,M07,1999 Jul,3.9
LASST470000000000003,1999,M08,1999 Aug,3.9
LASST470000000000003,1999,M09,1999 Sep,3.9
LASST470000000000003,1999,M10,1999 Oct,3.9
LASST470000000000003,1999,M11,1999 Nov,3.9
LASST470000000000003,1999,M12,1999 Dec,3.8
LASST470000000000003,2000,M01,2000 Jan,3.8
LASST470000000000003,2000,M02,2000 Feb,3.8
LASST470000000000003,2000,M03,2000 Mar,3.8
LASST470000000000003,2000,M04,2000 Apr,3.8
LASST470000000000003,2000,M05,2000 May,3.9
LASST470000000000003,2000,M06,2000 Jun,3.9
LASST470000000000003,2000,M07,2000 Jul,3.9
LASST470000000000003,2000,M08,2000 Aug,3.9
LASST470000000000003,2000,M09,2000 Sep,3.9
LASST470000000000003,2000,M10,2000 Oct,3.9
LASST470000000000003,2000,M11,2000 Nov,3.9
LASST470000000000003,2000,M12,2000 Dec,3.9
LASST470000000000003,2001,M01,2001 Jan,3.9
LASST470000000000003,2001,M02,2001 Feb,4.0
LASST470000000000003,2001,M03,2001 Mar,4.0
LASST470000000000003,2001,M04,2001 Apr,4.1
LASST470000000000003,2001,M05,2001 May,4.2
LASST470000000000003,2001,M06,2001 Jun,4.3
LASST470000000000003,2001,M07,2001 Jul,4.5
LASST470000000000003,2001,M08,2001 Aug,4.6
LASST470000000000003,2001,M09,2001 Sep,4.8
LASST470000000000003,2001,M10,2001 Oct,5.1
LASST470000000000003,2001,M11,2001 Nov,5.3
LASST470000000000003,2001,M12,2001 Dec,5.4
LASST470000000000003,2002,M01,2002 Jan,5.5
LASST470000000000003,2002,M02,2002 Feb,5.5
LASST470000000000003,2002,M03,2002 Mar,5.5
LASST470000000000003,2002,M04,2002 Apr,5.3
LASST470000000000003,2002,M05,2002 May,5.2
LASST470000000000003,2002,M06,2002 Jun,5.1
LASST470000000000003,2002,M07,2002 Jul,5.0
LASST470000000000003,2002,M08,2002 Aug,4.9
LASST470000000000003,2002,M09,2002 Sep,4.8
LASST470000000000003,2002,M10,2002 Oct,4.8
LASST470000000000003,2002,M11,2002 Nov,4.9
LASST470000000000003,2002,M12,2002 Dec,5.0
LASST470000000000003,2003,M01,2003 Jan,5.1
LASST470000000000003,2003,M02,2003 Feb,5.2
LASST470000000000003,2003,M03,2003 Mar,5.3
LASST470000000000003,2003,M04,2003 Apr,5.5
LASST470000000000003,2003,M05,2003 May,5.6
LASST470000000000003,2003,M06,2003 Jun,5.7
LASST470000000000003,2003,M07,2003 Jul,5.7
LASST470000000000003,2003,M08,2003 Aug,5.8
LASST470000000000003,2003,M09,2003 Sep,5.7
LASST470000000000003,2003,M10,2003 Oct,5.6
LASST470000000000003,2003,M11,2003 Nov,5.5
LASST470000000000003,2003,M12,2003 Dec,5.4
LASST470000000000003,2004,M01,2004 Jan,5.3
LASST470000000000003,2004,M02,2004 Feb,5.2
LASST470000000000003,2004,M03,2004 Mar,5.1
LASST470000000000003,2004,M04,2004 Apr,5.1
LASST470000000000003,2004,M05,2004 May,5.1
LASST470000000000003,2004,M06,2004 Jun,5.2
LASST470000000000003,2004,M07,2004 Jul,5.3
LASST470000000000003,2004,M08,2004 Aug,5.4
LASST470000000000003,2004,M09,2004 Sep,5.5
LASST470000000000003,2004,M10,2004 Oct,5.6
LASST470000000000003,2004,M11,2004 Nov,5.7
LASST470000000000003,2004,M12,2004 Dec,5.7
LASST470000000000003,2005,M01,2005 Jan,5.8
LASST470000000000003,2005,M02,2005 Feb,5.8
LASST470000000000003,2005,M03,2005 Mar,5.7
LASST470000000000003,2005,M04,2005 Apr,5.7
LASST470000000000003,2005,M05,2005 May,5.6
LASST470000000000003,2005,M06,2005 Jun,5.4
LASST470000000000003,2005,M07,2005 Jul,5.4
LASST470000000000003,2005,M08,2005 Aug,5.3
LASST470000000000003,2005,M09,2005 Sep,5.4
LASST470000000000003,2005,M10,2005 Oct,5.4
LASST470000000000003,2005,M11,2005 Nov,5.4
LASST470000000000003,2005,M12,2005 Dec,5.4
LASST470000000000003,2006,M01,2006 Jan,5.4
LASST470000000000003,2006,M02,2006 Feb,5.4
LASST470000000000003,2006,M03,2006 Mar,5.5
LASST470000000000003,2006,M04,2006 Apr,5.5
LASST470000000000003,2006,M05,2006 May,5.5
LASST470000000000003,2006,M06,2006 Jun,5.5
LASST470000000000003,2006,M07,2006 Jul,5.4
LASST470000000000003,2006,M08,2006 Aug,5.3
LASST470000000000003,2006,M09,2006 Sep,5.2
LASST470000000000003,2006,M10,2006 Oct,5.0
LASST470000000000003,2006,M11,2006 Nov,4.9
LASST470000000000003,2006,M12,2006 Dec,4.7
LASST470000000000003,2007,M01,2007 Jan,4.6
LASST470000000000003,2007,M02,2007 Feb,4.5
LASST470000000000003,2007,M03,2007 Mar,4.4
LASST470000000000003,2007,M04,2007 Apr,4.3
LASST470000000000003,2007,M05,2007 May,4.3
LASST470000000000003,2007,M06,2007 Jun,4.3
LASST470000000000003,2007,M07,2007 Jul,4.5
LASST470000000000003,2007,M08,2007 Aug,4.6
LASST470000000000003,2007,M09,2007 Sep,4.8
LASST470000000000003,2007,M10,2007 Oct,5.0
LASST470000000000003,2007,M11,2007 Nov,5.1
LASST470000000000003,2007,M12,2007 Dec,5.2
LASST470000000000003,2008,M01,2008 Jan,5.3
LASST470000000000003,2008,M02,2008 Feb,5.4
LASST470000000000003,2008,M03,2008 Mar,5.6
LASST470000000000003,2008,M04,2008 Apr,5.8
LASST470000000000003,2008,M05,2008 May,6.1
LASST470000000000003,2008,M06,2008 Jun,6.4
LASST470000000000003,2008,M07,2008 Jul,6.6
LASST470000000000003,2008,M08,2008 Aug,6.8
LASST470000000000003,2008,M09,2008 Sep,7.0
LASST470000000000003,2008,M10,2008 Oct,7.3
LASST470000000000003,2008,M11,2008 Nov,7.7
LASST470000000000003,2008,M12,2008 Dec,8.2
LASST470000000000003,2009,M01,2009 Jan,8.7
LASST470000000000003,2009,M02,2009 Feb,9.2
LASST470000000000003,2009,M03,2009 Mar,9.7
LASST470000000000003,2009,M04,2009 Apr,10.1
LASST470000000000003,2009,M05,2009 May,10.3
LASST470000000000003,2009,M06,2009 Jun,10.4
LASST470000000000003,2009,M07,2009 Jul,10.5
LASST470000000000003,2009,M08,2009 Aug,10.5
LASST470000000000003,2009,M09,2009 Sep,10.5
LASST470000000000003,2009,M10,2009 Oct,10.5
LASST470000000000003,2009,M11,2009 Nov,10.5
LASST470000000000003,2009,M12,2009 Dec,10.5
LASST470000000000003,2010,M01,2010 Jan,10.5
LASST470000000000003,2010,M02,2010 Feb,10.4
LASST470000000000003,2010,M03,2010 Mar,10.2
LASST470000000000003,2010,M04,2010 Apr,10.0
LASST470000000000003,2010,M05,2010 May,9.8
LASST470000000000003,2010,M06,2010 Jun,9.6
LASST470000000000003,2010,M07,2010 Jul,9.5
LASST470000000000003,2010,M08,2010 Aug,9.5
LASST470000000000003,2010,M09,2010 Sep,9.5
LASST470000000000003,2010,M10,2010 Oct,9.6
LASST470000000000003,2010,M11,2010 Nov,9.7
LASST470000000000003,2010,M12,2010 Dec,9.6
LASST470000000000003,2011,M01,2011 Jan,9.6
LASST470000000000003,2011,M02,2011 Feb,9.5
LASST470000000000003,2011,M03,2011 Mar,9.4
LASST470000000000003,2011,M04,2011 Apr,9.3
LASST470000000000003,2011,M05,2011 May,9.3
LASST470000000000003,2011,M06,2011 Jun,9.2
LASST470000000000003,2011,M07,2011 Jul,9.2
LASST470000000000003,2011,M08,2011 Aug,9.1
LASST470000000000003,2011,M09,2011 Sep,8.9
LASST470000000000003,2011,M10,2011 Oct,8.8
LASST470000000000003,2011,M11,2011 Nov,8.6
LASST470000000000003,2011,M12,2011 Dec,8.4
LASST470000000000003,2012,M01,2012 Jan,8.2
LASST470000000000003,2012,M02,2012 Feb,8.1
LASST470000000000003,2012,M03,2012 Mar,8.0
LASST470000000000003,2012,M04,2012 Apr,8.0
LASST470000000000003,2012,M05,2012 May,8.0
LASST470000000000003,2012,M06,2012 Jun,8.0
LASST470000000000003,2012,M07,2012 Jul,8.0
LASST470000000000003,2012,M08,2012 Aug,7.9
LASST470000000000003,2012,M09,2012 Sep,7.8
LASST470000000000003,2012,M10,2012 Oct,7.8
LASST470000000000003,2012,M11,2012 Nov,7.8
LASST470000000000003,2012,M12,2012 Dec,7.9
LASST470000000000003,2013,M01,2013 Jan,8.0
LASST470000000000003,2013,M02,2013 Feb,8.0
LASST470000000000003,2013,M03,2013 Mar,8.0
LASST470000000000003,2013,M04,2013 Apr,8.0
LASST470000000000003,2013,M05,2013 May,7.9
LASST470000000000003,2013,M06,2013 Jun,7.9
LASST470000000000003,2013,M07,2013 Jul,7.8
LASST470000000000003,2013,M08,2013 Aug,7.7
LASST470000000000003,2013,M09,2013 Sep,7.6
LASST470000000000003,2013,M10,2013 Oct,7.4
LASST470000000000003,2013,M11,2013 Nov,7.3
LASST470000000000003,2013,M12,2013 Dec,7.1
LASST470000000000003,2014,M01,2014 Jan,6.9
LASST470000000000003,2014,M02,2014 Feb,6.8
LASST470000000000003,2014,M03,2014 Mar,6.8
LASST470000000000003,2014,M04,2014 Apr,6.7
LASST470000000000003,2014,M05,2014 May,6.7
LASST470000000000003,2014,M06,2014 Jun,6.7
LASST470000000000003,2014,M07,2014 Jul,6.6
LASST470000000000003,2014,M08,2014 Aug,6.6
LASST470000000000003,2014,M09,2014 Sep,6.5
LASST470000000000003,2014,M10,2014 Oct,6.4
LASST470000000000003,2014,M11,2014 Nov,6.3
LASST470000000000003,2014,M12,2014 Dec,6.2
LASST480000000000003,1999,M01,1999 Jan,4.7
LASST480000000000003,1999,M02,1999 Feb,4.7
LASST480000000000003,1999,M03,1999 Mar,4.7
LASST480000000000003,1999,M04,1999 Apr,4.7
LASST480000000000003,1999,M05,1999 May,4.7
LASST480000000000003,1999,M06,1999 Jun,4.7
LASST480000000000003,1999,M07,1999 Jul,4.7
LASST480000000000003,1999,M08,1999 Aug,4.7
LASST480000000000003,1999,M09,1999 Sep,4.7
LASST480000000000003,1999,M10,1999 Oct,4.8
LASST480000000000003,1999,M11,1999 Nov,4.8
LASST480000000000003,1999,M12,1999 Dec,4.8
LASST480000000000003,2000,M01,2000 Jan,4.7
LASST480000000000003,2000,M02,2000 Feb,4.7
LASST480000000000003,2000,M03,2000 Mar,4.6
LASST480000000000003,2000,M04,2000 Apr,4.5
LASST480000000000003,2000,M05,2000 May,4.5
